"DateTime","4RH","1RV","2RV","3RH","Series 5","Series 6","Series 7"
"2025-09-03 19:46:00",1.26373,1.11377,4.16694,0.89056,,,
"2025-09-03 19:46:00",1.26373,1.11377,4.16694,0.89056,,,
"2025-09-03 19:46:00",,1.11377,4.16694,0.89056,,,
"2025-09-03 19:46:00",,1.11377,4.16694,,,,
"2025-09-03 19:46:00",,1.11377,4.16694,,,,
"2025-09-03 19:46:00",,1.11377,4.16694,,,,
"2025-09-03 19:46:00",,,4.16694,,,,
"2025-09-03 20:46:00",1.23275,1.29489,4.044,0.91271,,,
"2025-09-03 20:46:00",1.23275,1.29489,4.044,0.91271,,,
"2025-09-03 20:46:00",,1.29489,4.044,0.91271,,,
"2025-09-03 20:46:00",,1.29489,4.044,0.91271,,,
"2025-09-03 20:46:00",,1.29489,4.044,0.91271,,,
"2025-09-03 20:46:00",,1.29489,4.044,0.91271,,,
"2025-09-03 20:46:00",,,,0.91271,,,
"2025-09-03 20:46:00",,,,0.91271,,,
"2025-09-03 21:46:00",1.2714,1.27166,5.01957,0.89732,,,
"2025-09-03 21:46:00",1.2714,1.27166,5.01957,0.89732,,,
"2025-09-03 21:46:00",,1.27166,5.01957,0.89732,,,
"2025-09-03 21:46:00",,1.27166,5.01957,0.89732,,,
"2025-09-03 21:46:00",,1.27166,5.01957,0.89732,,,
"2025-09-03 21:46:00",,1.27166,5.01957,0.89732,,,
"2025-09-03 21:46:00",,1.27166,5.01957,0.89732,,,
"2025-09-03 21:46:00",,,5.01957,0.89732,,,
"2025-09-03 21:46:00",,,5.01957,0.89732,,,
"2025-09-03 21:46:00",,,5.01957,0.89732,,,
"2025-09-03 21:46:00",,,5.01957,,,,
"2025-09-03 22:46:00",1.25776,1.61452,6.53524,0.90969,,,
"2025-09-03 22:46:00",,1.61452,6.53524,0.90969,,,
"2025-09-03 22:46:00",,1.61452,6.53524,0.90969,,,
"2025-09-03 22:46:00",,1.61452,6.53524,0.90969,,,
"2025-09-03 22:46:00",,1.61452,6.53524,0.90969,,,
"2025-09-03 22:46:00",,,6.53524,0.90969,,,
"2025-09-03 23:46:00",1.26857,1.1033,4.43115,0.8955,,,
"2025-09-03 23:46:00",1.26857,1.1033,4.43115,0.8955,,,
"2025-09-03 23:46:00",,1.1033,4.43115,0.8955,,,
"2025-09-03 23:46:00",,1.1033,4.43115,0.8955,,,
"2025-09-03 23:46:00",,1.1033,4.43115,0.8955,,,
"2025-09-03 23:46:00",,1.1033,,0.8955,,,
"2025-09-03 23:46:00",,1.1033,,0.8955,,,
"2025-09-03 23:46:00",,,,0.8955,,,
"2025-09-03 23:46:00",,,,0.8955,,,
"2025-09-03 23:46:00",,,,0.8955,,,
"2025-09-04 00:46:00",1.29803,1.47414,4.66185,0.91187,,,
"2025-09-04 00:46:00",1.29803,1.47414,4.66185,0.91187,,,
"2025-09-04 00:46:00",1.29803,1.47414,4.66185,0.91187,,,
"2025-09-04 00:46:00",,1.47414,4.66185,0.91187,,,
"2025-09-04 00:46:00",,1.47414,4.66185,0.91187,,,
"2025-09-04 00:46:00",,1.47414,4.66185,0.91187,,,
"2025-09-04 00:46:00",,1.47414,4.66185,,,,
"2025-09-04 00:46:00",,1.47414,4.66185,,,,
"2025-09-04 00:46:00",,1.47414,4.66185,,,,
"2025-09-04 00:46:00",,1.47414,4.66185,,,,
"2025-09-04 00:46:00",,1.47414,4.66185,,,,
"2025-09-04 00:46:00",,,4.66185,,,,
"2025-09-04 00:46:00",,,4.66185,,,,
"2025-09-04 01:46:00",1.27256,1.46252,5.34052,0.89209,,,
"2025-09-04 01:46:00",1.27256,1.46252,5.34052,0.89209,,,
"2025-09-04 01:46:00",1.27256,1.46252,5.34052,0.89209,,,
"2025-09-04 01:46:00",,1.46252,5.34052,0.89209,,,
"2025-09-04 01:46:00",,,5.34052,0.89209,,,
"2025-09-04 01:46:00",,,5.34052,0.89209,,,
"2025-09-04 01:46:00",,,,0.89209,,,
"2025-09-04 01:46:00",,,,0.89209,,,
"2025-09-04 01:46:00",,,,0.89209,,,
