"DateTime","4RH","1RV","2RV","3RH","Series 5","Series 6","Series 7"
"2025-12-16 18:46:00",0.24712,3.38772,5.73683,0.2892,,,
"2025-12-16 19:46:00",0.24044,4.08344,7.22432,0.30496,,,
"2025-12-16 20:46:00",0.27947,2.26306,4.71873,0.33462,,,
"2025-12-16 21:46:00",0.24964,0.75163,1.28568,0.34781,,,
"2025-12-16 22:46:00",0.25297,1.59771,3.46803,0.36409,,,
"2025-12-16 23:46:00",0.37981,3.21515,5.50842,0.33551,,,
"2025-12-17 00:46:00",0.24562,3.75782,6.67239,0.35888,,,
"2025-12-17 01:46:00",0.23451,3.80469,7.02917,0.37094,,,
"2025-12-17 02:46:00",0.25671,3.41259,6.28311,0.35823,,,
"2025-12-17 03:46:00",0.416,3.03418,5.07671,0.37273,,,
"2025-12-17 04:46:00",0.31089,2.40732,4.87693,0.37458,,,
"2025-12-17 05:46:00",0.31858,3.19442,5.14984,0.36848,,,
"2025-12-17 06:46:00",0.3459,2.97926,4.34511,0.35288,,,
"2025-12-17 07:46:00",0.4196,2.68768,4.0423,0.3232,,,
"2025-12-17 08:46:00",0.35419,2.6896,5.42303,0.34213,,,
"2025-12-17 09:46:00",0.29962,2.64935,5.55168,0.31324,,,
"2025-12-17 10:46:00",0.30844,2.65927,4.55866,0.30481,,,
"2025-12-17 11:46:00",0.34101,2.29505,4.39204,0.33452,,,
"2025-12-17 12:46:00",0.34362,3.08409,5.48001,0.3343,,,
"2025-12-17 13:46:00",0.37152,2.52465,4.59638,0.35305,,,
"2025-12-17 14:46:00",0.36696,2.75566,4.7324,0.33215,,,
"2025-12-17 15:46:00",0.41647,2.5272,4.68769,0.35111,,,
"2025-12-17 16:46:00",0.38935,2.5021,4.98294,0.36861,,,
"2025-12-17 17:46:00",0.36378,2.48975,4.97134,0.35086,,,
"2025-12-17 18:46:00",0.35154,2.5506,5.00243,0.36099,,,
"2025-12-17 19:46:00",0.40807,1.97856,3.9964,0.35456,,,
"2025-12-17 20:46:00",0.37247,2.04482,3.21073,0.32218,,,
