"DateTime","5RV","7RV","11RH","10RH","1RV","2RH","3RV","9RV"
"2026-01-07 12:02:00",2.18265,3.69147,64.28403,5.70123,14.07777,10.2093,2.78176,3.04391
"2026-01-07 13:02:00",2.36776,3.79169,155.6153,6.13539,14.50016,10.42758,2.93861,3.45227
"2026-01-07 14:02:00",2.79658,4.21706,57.87833,6.26952,14.8154,10.77555,3.16657,3.62625
"2026-01-07 15:02:00",2.40796,4.00329,459.645782,6.0871,14.28663,10.3232,2.95869,3.42686
"2026-01-07 16:02:00",2.37389,4.35379,103.432167,5.66447,14.49685,10.55788,2.86642,3.0738
"2026-01-07 17:02:00",2.30883,3.93951,79.7589,5.51878,14.28818,10.56378,3.12547,3.07782
"2026-01-07 18:02:00",2.23641,4.11017,109.374641,5.8421,14.85073,10.83887,2.9127,3.18019
"2026-01-07 19:02:00",2.52933,4.34948,26.74146,5.90094,14.73355,10.56178,3.0669,3.38952
"2026-01-07 20:02:00",2.21833,4.10852,126.633713,6.09181,15.50574,10.91598,2.99859,3.418
"2026-01-07 21:02:00",2.28167,3.97232,361.727,5.97022,15.14532,11.03051,2.92781,3.36398
"2026-01-07 22:02:00",2.50683,4.03564,114.97934,6.50549,15.3047,10.85968,3.0623,3.83653
"2026-01-07 23:02:00",2.5776,4.18349,85.88412,6.52755,15.18389,10.46348,3.09664,3.93398
"2026-01-08 00:02:00",2.63674,4.30826,95.90042,6.83938,15.12908,10.66885,3.11962,4.03423
"2026-01-08 01:02:00",2.62088,4.30179,84.00933,6.07047,14.07141,10.32855,2.88199,3.37864
"2026-01-08 02:02:00",2.52016,4.14396,200.869553,5.75382,14.35053,10.39139,2.99799,3.21604
"2026-01-08 03:02:00",2.33335,3.91293,465.909027,5.81116,13.94751,10.23459,2.82573,3.2412
"2026-01-08 04:02:00",2.53031,3.9108,258.8045,6.36899,13.96689,10.10899,2.82241,3.80327
"2026-01-08 05:02:00",2.54949,4.19282,124.221977,6.03804,14.89726,10.40228,3.09464,3.57448
"2026-01-08 06:02:00",2.53397,4.29566,270.119171,6.35101,14.70849,10.56918,2.87793,3.61763
"2026-01-08 07:02:00",2.44807,3.98987,227.0598,6.33759,14.93595,10.70498,2.9535,3.67495
"2026-01-08 08:02:00",2.4618,4.13508,57.49766,6.10769,14.85248,10.45066,2.89253,3.47825
"2026-01-08 09:02:00",2.26712,3.28988,63.90191,3.48814,15.44277,9.68826,3.91599,1.99389
"2026-01-08 10:02:00",0.24332,0.25474,76.02324,0.15883,0.45919,0.32862,0.24951,0.17698
"2026-01-08 11:02:00",0.21192,0.23055,46.64351,0.17697,0.80495,0.36688,0.21778,0.18145
"2026-01-08 12:02:00",0.30948,0.34706,72.30952,0.19075,0.56486,0.37939,0.31965,0.21817
"2026-01-08 13:02:00",0.24637,0.29155,140.949265,0.19681,0.42859,0.45783,0.2198,0.20976
"2026-01-08 14:02:00",0.18768,0.196,35.9484,0.1482,0.25369,0.26587,0.22426,0.13825
"2026-01-08 15:02:00",0.12813,0.14486,75.79035,0.09958,0.21308,0.16665,0.12705,0.09388
"2026-01-08 16:02:00",0.12675,0.12993,192.718063,0.08506,0.19935,0.15343,0.12174,0.08969
"2026-01-08 17:02:00",0.10652,0.12471,75.22943,0.06783,0.14036,0.11955,0.09058,0.08347
"2026-01-08 18:02:00",0.11507,0.13138,188.758286,0.07154,0.14812,0.11896,0.09711,0.08659
"2026-01-08 19:02:00",0.10598,0.12918,91.40955,0.0731,0.12746,0.12037,0.09152,0.08694
"2026-01-08 20:02:00",0.0945,0.10641,72.33698,0.06126,0.13159,0.11486,0.08041,0.07358
"2026-01-08 21:02:00",0.14143,0.17076,81.69551,0.11701,0.15319,0.25105,0.11673,0.11341
"2026-01-08 22:02:00",0.14641,0.17378,364.038727,0.11144,0.17218,0.21629,0.12448,0.11561
"2026-01-08 23:02:00",0.15578,0.18188,99.85212,0.10326,0.18174,0.20851,0.13176,0.12022
"2026-01-09 00:02:00",0.34355,0.32635,20.95387,0.35833,0.80563,0.48716,0.37316,0.34618
"2026-01-09 01:02:00",2.41925,3.48877,40.7127,3.60468,5.67015,8.99165,2.71499,1.98312
"2026-01-09 02:02:00",2.53234,3.80874,77.22913,3.30191,5.38481,6.89351,2.5699,2.07663
"2026-01-09 03:02:00",2.48929,4.05488,189.600586,4.75187,6.9233,7.72929,2.5547,2.94209
"2026-01-09 04:02:00",2.76579,4.1761,46.28767,5.43959,6.05549,8.44835,2.69686,3.34384
"2026-01-09 05:02:00",2.65886,3.89557,57.36468,5.72711,6.03517,8.40714,2.52451,3.61726
"2026-01-09 06:02:00",3.21185,4.46978,43.2264,6.93992,6.68562,9.49572,2.88814,4.48644
"2026-01-09 07:02:00",2.80183,4.33259,193.604874,6.07475,7.55692,10.07584,2.98591,3.69353
"2026-01-09 08:02:00",2.66729,4.44841,65.97028,6.35017,7.374,10.01651,2.81962,3.84346
"2026-01-09 09:02:00",2.9096,4.52446,81.95716,6.5448,6.96593,9.47341,3.79933,4.01305
"2026-01-09 10:02:00",2.77228,4.42824,31.53519,5.85565,6.78966,10.52098,3.86532,3.23498
"2026-01-09 11:02:00",2.28965,4.07787,20.35919,5.55856,6.20724,9.76057,2.45612,3.06958
"2026-01-09 12:02:00",2.47565,3.83977,160.1039,5.88377,6.5014,9.30362,2.73023,3.54514
"2026-01-09 13:02:00",2.58943,4.20509,79.27171,6.17377,7.59901,9.44096,2.92244,3.7011
"2026-01-09 14:02:00",2.5853,4.25347,129.380737,6.72202,6.76964,10.35748,2.71855,3.98368
"2026-01-09 15:02:00",2.77409,4.56038,97.07397,6.20676,7.21648,10.46323,3.40323,3.38639
"2026-01-09 16:02:00",2.62052,4.14469,102.514908,6.28578,6.80307,10.75127,2.84494,3.40222
"2026-01-09 17:02:00",2.55584,3.94417,62.83806,5.73577,6.65593,10.11596,2.895,3.27197
"2026-01-09 18:02:00",2.83091,4.37492,142.153122,6.20765,7.52743,10.25534,3.01269,3.84146
"2026-01-09 19:02:00",2.44139,3.87277,60.15406,5.71198,6.1093,10.13561,2.75,3.19503
"2026-01-09 20:02:00",2.85651,4.56148,25.04349,6.14155,6.98853,10.66697,2.95195,3.45155
"2026-01-09 21:02:00",2.35884,3.96271,85.26797,5.78741,5.97026,10.54823,2.55994,3.07928
"2026-01-09 22:02:00",2.38264,3.97056,66.43743,5.79341,6.20556,10.32396,2.72291,3.14992
"2026-01-09 23:02:00",2.38576,3.62327,99.92712,6.15976,6.3609,9.92812,2.61321,3.7119
"2026-01-10 00:02:00",2.76255,4.20929,82.12524,6.87083,7.39946,11.08379,2.95292,4.07012
"2026-01-10 01:02:00",2.56609,4.08485,12.34568,6.39923,7.31895,10.97963,2.90448,3.71723
"2026-01-10 02:02:00",2.45238,4.1732,28.00926,5.76253,7.05692,10.56956,2.89789,3.15208
"2026-01-10 03:02:00",2.35094,3.82996,63.54872,5.66586,6.25703,10.67915,2.6673,2.98319
"2026-01-10 04:02:00",2.56235,4.04399,83.13443,5.99442,7.14733,10.32662,3.02474,3.36593
"2026-01-10 05:02:00",2.34572,3.59291,69.43301,5.80446,6.04019,10.26289,2.5845,3.33861
"2026-01-10 06:02:00",2.68896,4.17536,36.29878,6.51951,7.32465,10.66125,2.94194,3.90186
"2026-01-10 07:02:00",2.5548,4.13213,4.11334,6.2288,7.12075,10.65918,2.88648,3.46315
"2026-01-10 08:02:00",2.74666,4.2683,148.342743,6.24072,6.85442,10.50534,2.84894,3.57622
