"DateTime","4RH","1RV","2RH","3RH","Series 5","Series 6"
"2026-03-07 13:50:00",0.94634,3.32623,0.89275,0.84626,,
"2026-03-07 14:50:00",0.82912,3.16149,0.89134,0.89584,,
"2026-03-07 15:50:00",0.86075,3.28791,0.90827,0.87905,,
"2026-03-07 16:50:00",0.81679,3.36688,0.88764,0.86323,,
"2026-03-07 17:50:00",0.92416,3.32018,0.9601,0.88135,,
"2026-03-07 18:50:00",0.86963,3.32312,0.88587,0.83967,,
"2026-03-07 19:50:00",0.90605,3.11873,0.92224,0.85454,,
"2026-03-07 20:50:00",0.88606,3.35631,0.87591,0.86855,,
"2026-03-07 21:50:00",0.92093,3.37592,0.91564,0.90908,,
"2026-03-07 22:50:00",0.85553,3.29707,0.95233,0.86265,,
"2026-03-07 23:50:00",0.88249,3.27164,0.9288,0.86807,,
"2026-03-08 00:50:00",0.95952,3.32087,0.92777,0.85951,,
"2026-03-08 01:50:00",0.85079,3.82199,0.86399,0.89171,,
"2026-03-08 02:50:00",0.92189,3.49161,0.9204,0.84518,,
"2026-03-08 03:50:00",0.90697,3.75595,0.83896,0.88221,,
"2026-03-08 04:50:00",0.86456,3.55873,0.9207,0.88938,,
"2026-03-08 05:50:00",0.83335,3.75427,0.87835,0.85611,,
"2026-03-08 06:50:00",0.8482,3.63916,0.88625,0.89971,,
"2026-03-08 07:50:00",0.8491,3.79601,0.99818,0.87747,,
"2026-03-08 08:50:00",0.94135,3.54498,0.9212,0.89879,,
"2026-03-08 09:50:00",0.87347,3.18303,0.97513,0.87195,,
"2026-03-08 10:50:00",0.96342,3.21757,0.96659,0.89824,,
"2026-03-08 11:50:00",0.87998,3.39006,0.92897,0.88866,,
"2026-03-08 12:50:00",0.97365,3.34963,0.91962,0.90223,,
"2026-03-08 13:50:00",0.93176,3.22007,0.90792,0.88991,,
"2026-03-08 14:50:00",0.92197,3.50006,0.92198,0.91306,,
"2026-03-08 15:50:00",0.9629,3.16259,0.9443,0.85464,,
"2026-03-08 16:50:00",0.90808,3.28617,0.91086,0.8646,,
"2026-03-08 17:50:00",0.90098,3.5983,0.9458,0.84409,,
"2026-03-08 18:50:00",0.99313,3.82087,0.97219,0.86667,,
"2026-03-08 19:50:00",0.97894,3.11958,0.91654,0.86964,,
"2026-03-08 20:50:00",0.93793,3.65764,0.92313,0.889,,
"2026-03-08 21:50:00",0.85475,3.26091,0.91116,0.85078,,
"2026-03-08 22:50:00",0.88414,3.01193,0.88156,0.89811,,
"2026-03-08 23:50:00",0.89686,3.8887,0.8834,0.84415,,
"2026-03-09 00:50:00",0.84823,3.44303,0.92167,0.84491,,
"2026-03-09 01:50:00",0.96499,3.63563,0.93101,0.8406,,
"2026-03-09 02:50:00",0.86281,3.33791,0.90304,0.82614,,
"2026-03-09 03:50:00",0.89625,3.81357,0.89353,0.85784,,
"2026-03-09 04:50:00",0.89196,3.22546,0.90291,0.84869,,
"2026-03-09 05:50:00",0.88854,3.06631,0.89846,0.85447,,
"2026-03-09 06:50:00",0.89692,2.87139,0.90141,0.871,,
"2026-03-09 07:50:00",0.89467,3.07899,0.90417,0.85079,,
"2026-03-09 08:50:00",0.9478,3.7176,0.90315,0.86445,,
"2026-03-09 09:50:00",0.8734,3.2888,0.90625,0.83692,,
"2026-03-09 10:50:00",1.02397,3.2588,0.92309,0.89746,,
"2026-03-09 11:50:00",1.09219,3.72899,0.87357,0.9335,,
"2026-03-09 12:50:00",0.9125,2.9512,0.88088,0.8598,,
"2026-03-09 13:50:00",0.91973,3.30339,0.89063,0.9021,,
"2026-03-09 14:50:00",0.9631,3.27076,0.88472,0.89022,,
"2026-03-09 15:50:00",0.95953,3.68074,0.90406,0.90554,,
"2026-03-09 16:50:00",0.8952,3.05689,0.92008,0.8886,,
"2026-03-09 17:50:00",0.93684,3.49579,0.91338,0.8806,,
"2026-03-09 18:50:00",1.0243,3.63231,0.91218,0.84767,,
"2026-03-09 19:50:00",1.00147,3.89206,0.97163,0.91429,,
"2026-03-09 20:50:00",1.07171,3.28592,0.91626,0.87743,,
"2026-03-09 21:50:00",0.91773,3.52381,0.91609,0.87289,,
"2026-03-09 22:50:00",0.9041,3.30166,0.87809,0.90938,,
"2026-03-09 23:50:00",0.93776,3.20621,0.93384,0.90616,,
"2026-03-10 00:50:00",0.90176,3.66918,0.92787,0.86669,,
"2026-03-10 01:50:00",0.98786,3.25029,0.90342,0.86677,,
"2026-03-10 02:50:00",0.94954,3.46207,0.91856,0.85858,,
"2026-03-10 03:50:00",1.00523,3.0839,0.85558,0.85863,,
"2026-03-10 04:50:00",0.88603,3.33831,0.90467,0.83728,,
"2026-03-10 05:50:00",0.88016,3.33695,0.95166,0.8995,,
"2026-03-10 06:50:00",0.81478,3.41109,0.92584,0.85452,,
"2026-03-10 07:50:00",0.88772,2.9982,0.8991,0.87908,,
"2026-03-10 08:50:00",0.93281,3.05761,0.93273,0.90639,,
"2026-03-10 09:50:00",0.96031,3.21005,0.97666,0.8774,,
"2026-03-10 10:50:00",0.81011,3.49081,0.95326,0.8388,,
"2026-03-10 11:50:00",0.94087,3.71626,0.9492,0.87723,,
"2026-03-10 12:50:00",0.89065,3.52593,0.92974,0.89435,,
"2026-03-10 13:50:00",0.92912,3.3503,0.95064,0.87988,,
"2026-03-10 14:50:00",0.8417,3.10541,0.93335,0.79672,,
"2026-03-10 15:50:00",0.93373,3.02045,0.85189,0.83163,,
"2026-03-10 16:50:00",0.8426,3.68903,0.93251,0.84109,,
"2026-03-10 17:50:00",0.90604,3.46306,0.93224,0.87763,,
"2026-03-10 18:50:00",0.83902,3.09487,0.91691,0.85899,,
"2026-03-10 19:50:00",0.8603,3.52521,0.89465,0.79961,,
"2026-03-10 20:50:00",0.85372,3.42818,0.95019,0.84396,,
"2026-03-10 21:50:00",0.93615,3.35605,0.9231,0.87513,,
"2026-03-10 22:50:00",0.80623,3.38671,0.94238,0.85438,,
"2026-03-10 23:50:00",0.82897,3.27255,0.93857,0.80476,,
"2026-03-11 00:50:00",0.84345,3.52943,0.9397,0.82126,,
"2026-03-11 01:50:00",0.92771,3.71881,0.91219,0.87273,,
"2026-03-11 02:50:00",0.91809,3.39946,0.94442,0.86371,,
"2026-03-11 03:50:00",0.84603,3.26514,0.93699,0.82355,,
"2026-03-11 04:50:00",0.89224,3.431,0.92947,0.8257,,
"2026-03-11 05:50:00",0.92613,3.46054,0.92282,0.8436,,
"2026-03-11 06:50:00",0.81949,3.32958,0.92171,0.82409,,
"2026-03-11 07:50:00",0.86883,3.25913,0.91434,0.88407,,
"2026-03-11 08:50:00",0.91752,3.24861,0.91783,0.8455,,
"2026-03-11 09:50:00",0.88689,3.0233,0.93025,0.83025,,
"2026-03-11 10:50:00",0.8204,3.38208,0.83549,0.85049,,
"2026-03-11 11:50:00",0.89802,3.12399,0.93479,0.85252,,
"2026-03-11 12:50:00",0.85899,3.54921,0.98552,0.83262,,
"2026-03-11 13:50:00",0.8635,3.24398,0.91928,0.84011,,
"2026-03-11 14:50:00",0.88764,3.2747,0.87935,0.83949,,
"2026-03-11 15:50:00",0.8198,2.82229,0.87612,0.85354,,
"2026-03-11 16:50:00",0.80199,3.45389,0.87152,0.83045,,
"2026-03-11 17:50:00",0.8263,3.38372,0.88155,0.87339,,
"2026-03-11 18:50:00",0.90255,3.31104,0.85501,0.83604,,
"2026-03-11 19:50:00",0.89513,3.23027,0.89145,0.83963,,
"2026-03-11 20:50:00",0.96552,3.33768,0.84972,0.83259,,
"2026-03-11 21:50:00",0.98262,3.27813,0.92221,0.87868,,
"2026-03-11 22:50:00",0.92682,3.42286,0.90048,0.84814,,
"2026-03-11 23:50:00",0.95037,3.25534,0.87167,0.84571,,
"2026-03-12 00:50:00",0.89008,3.21164,0.88446,0.83128,,
"2026-03-12 01:50:00",0.97028,3.01466,0.84245,0.87189,,
"2026-03-12 02:50:00",0.91294,3.27034,0.8628,0.83847,,
"2026-03-12 03:50:00",0.9051,3.33199,0.87086,0.8228,,
"2026-03-12 04:50:00",0.85449,3.48315,0.90021,0.84638,,
"2026-03-12 05:50:00",0.86487,3.62115,0.8797,0.85116,,
"2026-03-12 06:50:00",0.87512,3.35076,0.89308,0.84022,,
"2026-03-12 07:50:00",0.92745,3.47097,0.88519,0.83791,,
"2026-03-12 08:50:00",0.90834,3.15614,0.8468,0.83274,,
"2026-03-12 09:50:00",0.83763,3.70385,0.88912,0.83678,,
"2026-03-12 10:50:00",0.81613,3.86507,0.90519,0.85435,,
"2026-03-12 11:50:00",0.76471,3.5109,0.87004,0.81813,,
"2026-03-12 12:50:00",0.78353,3.12761,0.88985,0.85659,,
"2026-03-12 13:50:00",0.76861,3.52115,0.9105,0.85759,,
"2026-03-12 14:50:00",0.79487,3.48601,0.86475,0.84556,,
"2026-03-12 15:50:00",0.84311,3.77255,0.94034,0.84579,,
"2026-03-12 16:50:00",0.79365,3.20818,0.89821,0.80778,,
"2026-03-12 17:50:00",0.78615,3.70185,0.94716,0.80811,,
"2026-03-12 18:50:00",0.83095,3.58377,0.93391,0.83445,,
"2026-03-12 19:50:00",0.87701,3.43788,0.96763,0.86932,,
"2026-03-12 20:50:00",0.87553,3.42313,0.94024,0.8461,,
"2026-03-12 21:50:00",0.86514,2.92586,1.00821,0.85661,,
"2026-03-12 22:50:00",0.96271,3.53858,1.00761,0.87815,,
"2026-03-12 23:50:00",0.90201,3.32747,0.99022,0.84514,,
"2026-03-13 00:50:00",0.95757,3.35698,0.93027,0.84955,,
"2026-03-13 01:50:00",0.89023,3.54006,1.00104,0.86519,,
"2026-03-13 02:50:00",0.88935,3.4671,0.9076,0.85335,,
"2026-03-13 03:50:00",0.93008,3.24549,0.87707,0.82522,,
"2026-03-13 04:50:00",0.94785,3.31142,0.86097,0.83145,,
"2026-03-13 05:50:00",0.9282,2.89681,0.89324,0.83686,,
"2026-03-13 06:50:00",0.8379,3.23848,0.95753,0.8203,,
"2026-03-13 07:50:00",0.8504,3.57296,0.87358,0.80888,,
"2026-03-13 08:50:00",0.88239,3.25133,0.91197,0.8082,,
"2026-03-13 09:50:00",0.93404,3.58321,0.90007,0.89656,,
"2026-03-13 10:50:00",0.79001,3.32971,0.95663,0.86366,,
"2026-03-13 11:50:00",0.91924,3.45982,0.90047,0.86247,,
"2026-03-13 12:50:00",0.91379,3.3922,0.90427,0.85118,,
"2026-03-13 13:50:00",0.90495,3.37864,0.99415,0.86191,,
"2026-03-13 14:50:00",0.87995,3.25867,0.94954,0.8656,,
"2026-03-13 15:50:00",0.87111,3.61888,0.9976,0.87278,,
"2026-03-13 16:50:00",0.93083,3.50344,0.93569,0.84897,,
"2026-03-13 17:50:00",0.91338,3.22258,0.99373,0.84902,,
"2026-03-13 18:50:00",0.86445,3.47692,1.03907,0.83563,,
"2026-03-13 19:50:00",0.8572,3.25112,1.01502,0.83421,,
"2026-03-13 20:50:00",0.91412,3.79787,0.91393,0.84308,,
"2026-03-13 21:50:00",0.97892,3.33601,0.95888,0.8372,,
"2026-03-13 22:50:00",0.93986,3.18852,0.9965,0.83588,,
"2026-03-13 23:50:00",0.9234,3.36956,0.96153,0.85494,,
"2026-03-14 00:50:00",0.9799,3.05061,0.95036,0.86907,,
"2026-03-14 01:50:00",0.92432,3.4996,0.93616,0.85114,,
"2026-03-14 02:50:00",0.91976,3.34241,0.95792,0.85159,,
"2026-03-14 03:50:00",0.94265,3.71436,1.0702,0.86121,,
"2026-03-14 04:50:00",0.88725,3.20411,0.96769,0.81967,,
"2026-03-14 05:50:00",0.87073,3.17261,1.07845,0.78573,,
"2026-03-14 06:50:00",0.89091,3.30454,0.98001,0.81212,,
"2026-03-14 07:50:00",0.94315,3.10224,0.98058,0.83429,,
"2026-03-14 08:50:00",1.05013,3.09072,0.98648,0.85036,,
"2026-03-14 09:50:00",1.04079,3.49174,0.91916,0.88765,,
"2026-03-14 10:50:00",1.05957,3.3843,0.94878,0.85876,,
"2026-03-14 11:50:00",1.06682,3.4931,0.90265,0.8897,,
"2026-03-14 12:50:00",1.04687,3.74202,0.89808,0.84547,,
"2026-03-14 13:50:00",1.01075,3.75062,0.9106,0.86054,,
"2026-03-14 14:50:00",1.06567,3.48819,0.87951,0.83039,,
"2026-03-14 15:50:00",1.06695,3.42996,0.90647,0.83709,,
"2026-03-14 16:50:00",1.03094,3.67882,0.89012,0.82757,,
"2026-03-14 17:50:00",0.84656,3.58452,0.88291,0.79915,,
"2026-03-14 18:50:00",0.94198,3.25171,0.86745,0.85736,,
"2026-03-14 19:50:00",0.9427,3.27349,0.90666,0.83922,,
"2026-03-14 20:50:00",0.89834,3.32146,0.89959,0.80468,,
"2026-03-14 21:50:00",1.0535,3.24816,0.94575,0.89982,,
"2026-03-14 22:50:00",0.97147,3.60141,0.91335,0.86094,,
"2026-03-14 23:50:00",0.97462,3.58536,0.8866,0.83618,,
"2026-03-15 00:50:00",1.0637,3.17236,0.98894,0.87626,,
"2026-03-15 01:50:00",1.00446,3.38372,0.92741,0.87482,,
