"DateTime","10RV","8RV","9RV","1RV","2RH","3RV","4RV","7RV"
"2025-11-09 13:56:00",0.04241,,,,,0.35043,,
"2025-11-09 13:56:00",0.04241,,,,,,,
"2025-11-09 14:56:00",0.04092,0.0888,0.08548,0.71849,0.9945,0.27106,0.24027,0.0562
"2025-11-09 14:56:00",0.04092,,,0.71849,,,,
"2025-11-09 15:56:00",0.03304,0.08769,0.09511,0.70845,0.94388,0.27739,0.23593,0.06032
"2025-11-09 16:56:00",0.04103,0.08946,0.12014,0.78554,0.91351,0.34859,0.23115,0.07764
"2025-11-09 17:56:00",0.03976,0.08162,0.07369,0.73816,0.92786,0.33566,0.22477,0.07095
"2025-11-09 18:56:00",0.03887,0.08423,0.06536,0.72674,0.78978,0.3058,0.22049,0.06439
"2025-11-09 19:56:00",0.03022,0.09257,0.0956,0.80601,0.85796,0.29133,0.25895,0.06814
"2025-11-09 20:56:00",0.03416,0.08863,0.09078,0.81566,0.85851,0.27857,0.23509,0.05977
"2025-11-09 20:56:00",,,,,,,0.23509,
"2025-11-09 21:56:00",0.04228,0.08433,0.10733,0.8219,0.87461,0.34995,0.23503,0.07551
"2025-11-09 22:56:00",0.03982,0.08811,0.08408,0.81978,0.90293,0.27741,0.24413,0.05784
"2025-11-09 22:56:00",,,0.08408,0.81978,,,,
"2025-11-09 23:56:00",0.03073,0.09059,0.08864,0.85797,0.9635,0.28203,0.24577,0.06236
"2025-11-09 23:56:00",,,,,,,0.24577,0.06236
"2025-11-10 00:56:00",0.04682,0.08789,0.13843,0.75502,0.88861,0.34974,0.23528,0.07918
"2025-11-10 01:56:00",0.03714,0.08445,0.08725,0.87799,0.82993,0.28582,0.22308,0.06005
"2025-11-10 01:56:00",,0.08445,,,,,,
"2025-11-10 02:56:00",0.03609,0.09275,0.09404,0.77632,0.77699,0.30515,0.26174,0.06828
"2025-11-10 02:56:00",,,,0.77632,,0.30515,,
"2025-11-10 03:56:00",0.03205,0.0909,0.08489,0.71815,0.74117,0.27632,0.23688,0.05884
"2025-11-10 04:56:00",0.0418,0.0876,0.11536,0.64447,0.6867,0.35228,0.23367,0.07875
"2025-11-10 05:56:00",0.03674,0.08279,0.07438,0.60881,0.75755,0.30786,0.22013,0.06382
"2025-11-10 05:56:00",,,,,0.75755,,0.22013,
"2025-11-10 06:56:00",0.0304,0.09441,0.0953,0.69451,0.7864,0.30641,0.26316,0.0727
"2025-11-10 06:56:00",,,,,0.7864,,,
"2025-11-10 06:56:00",,,,,0.7864,,,
"2025-11-10 07:56:00",0.03853,0.08824,0.10161,0.74133,0.82602,0.33451,0.22422,0.07142
"2025-11-10 08:56:00",0.0381,0.08328,0.08147,0.65791,0.88533,0.31769,0.22037,0.06537
"2025-11-10 08:56:00",,,,,,,0.22037,
"2025-11-10 09:56:00",0.03434,0.08282,0.05847,0.59834,0.82638,0.29464,0.22414,0.06031
"2025-11-10 10:56:00",0.03817,0.08445,0.06645,0.63316,0.90794,0.279,0.22564,0.05854
"2025-11-10 11:56:00",0.03586,0.08942,0.10322,0.6581,0.91992,0.2791,0.22942,0.06262
"2025-11-10 12:56:00",0.04183,0.08919,0.11428,0.73309,0.89291,0.35477,0.23597,0.07956
"2025-11-10 13:56:00",0.03688,0.08418,0.07441,0.83047,0.91114,0.30192,0.22033,0.06384
"2025-11-10 13:56:00",,,,,,0.30192,,
"2025-11-10 14:56:00",0.03062,0.09354,0.09486,0.80308,0.90033,0.3141,0.26581,0.07247
"2025-11-10 15:56:00",0.04221,0.08881,0.10791,0.73773,0.82706,0.35792,0.2313,0.07533
"2025-11-10 15:56:00",,,,,,,,0.07533
"2025-11-10 16:56:00",0.03909,0.0826,0.06912,0.78524,0.52108,0.29288,0.22244,0.06007
"2025-11-10 17:56:00",0.03051,0.08689,0.08671,0.77202,0.50184,0.27557,0.24294,0.06126
"2025-11-10 17:56:00",,0.08689,,,,,,
"2025-11-10 18:56:00",0.04214,0.08882,0.14502,0.71826,0.60297,0.36028,0.23345,0.07945
"2025-11-10 18:56:00",,,,,,,0.23345,0.07945
"2025-11-10 19:56:00",0.03664,0.08285,0.0735,0.72457,0.51756,0.30736,0.22119,0.06478
"2025-11-10 19:56:00",,,0.0735,,,,,0.06478
"2025-11-10 20:56:00",0.03785,0.0944,0.07042,0.77618,0.47143,0.29747,0.26137,0.06947
"2025-11-10 21:56:00",0.02776,0.09447,0.09301,0.74322,0.49392,0.32026,0.26405,0.07452
"2025-11-10 21:56:00",,,,,,,0.26405,0.07452
"2025-11-10 22:56:00",0.02717,0.09299,0.08922,0.6491,0.57127,0.31525,0.2659,0.07398
"2025-11-10 23:56:00",0.03444,0.0886,0.08935,0.79132,0.77469,0.28511,0.23893,0.06004
"2025-11-11 00:56:00",0.04288,0.08566,0.09352,0.74315,0.78848,0.34942,0.23752,0.07786
