"DateTime","10RV","8RV","9RV","1RV","2RH","3RV","4RV","7RV"
"2026-04-13 05:56:00",1.50546,1.45409,3.38641,2.73638,1.55874,1.36558,1.20256,0.90341
"2026-04-13 06:56:00",1.72206,1.21257,6.17464,1.9722,1.47808,1.25054,1.03011,0.85012
"2026-04-13 07:56:00",1.61025,1.4452,4.84455,2.55143,1.66479,1.41825,1.18839,1.01468
"2026-04-13 08:56:00",1.5754,1.4271,4.7673,2.32142,1.5692,1.35922,1.16539,0.97676
"2026-04-13 09:56:00",1.74581,1.17715,4.63114,1.98973,1.53546,1.23514,0.9928,0.80377
"2026-04-13 10:56:00",1.55021,1.42755,4.20454,2.02996,1.58559,1.37439,1.18403,0.94622
"2026-04-13 11:56:00",1.68879,1.22076,4.95709,1.9668,1.45495,1.20814,1.01936,0.7839
"2026-04-13 12:56:00",1.65008,1.37105,4.97438,2.70624,1.57501,1.35601,1.15258,0.91893
"2026-04-13 13:56:00",1.54399,1.35771,4.46148,2.6043,1.56409,1.30657,1.1196,0.87618
"2026-04-13 14:56:00",1.58944,1.35774,5.41538,2.42359,1.58931,1.33919,1.15952,0.87351
"2026-04-13 15:56:00",1.57696,1.25283,2.77269,1.8415,1.51501,1.23085,1.04432,0.80688
"2026-04-13 16:56:00",1.79656,1.14841,2.49145,1.74087,1.53217,1.19233,0.95565,0.77345
"2026-04-13 17:56:00",1.61946,1.31866,3.02275,1.82235,1.5073,1.29056,1.10053,0.86341
"2026-04-13 18:56:00",1.54352,1.31594,5.70317,2.5928,1.6454,1.31892,1.09459,0.89917
"2026-04-13 19:56:00",1.78008,1.12482,6.31848,2.23881,1.48303,1.17201,0.94356,0.74889
"2026-04-13 20:56:00",1.41141,1.39119,4.08064,2.6332,1.55722,1.36252,1.17167,0.9317
"2026-04-13 21:56:00",1.61862,1.21134,3.89202,2.41404,1.54615,1.23607,1.00191,0.8309
"2026-04-13 22:56:00",1.76044,1.16769,3.87546,2.24555,1.74428,1.21279,0.97854,0.80681
"2026-04-13 23:56:00",1.62257,1.37115,3.96556,2.25085,1.64958,1.41273,1.16085,0.95761
"2026-04-14 00:56:00",1.47905,1.32501,3.73477,2.24229,1.64197,1.352,1.1096,0.92009
"2026-04-14 01:56:00",1.77691,1.17772,4.56851,2.41115,1.7153,1.22876,0.99734,0.77877
"2026-04-14 02:56:00",1.64104,1.54842,4.61766,2.51479,1.6706,1.4969,1.29176,1.06107
"2026-04-14 03:56:00",1.67342,1.3554,3.99917,2.22889,1.62972,1.34775,1.09744,0.91721
"2026-04-14 04:56:00",1.7738,1.1618,4.51411,2.48968,1.70599,1.22502,0.98263,0.78388
"2026-04-14 05:56:00",1.65342,1.33806,3.60531,2.01602,1.50539,1.37845,1.1329,0.92983
"2026-04-14 06:56:00",1.57552,1.52438,3.77709,2.5926,1.68616,1.45774,1.26848,1.02048
"2026-04-14 07:56:00",1.83169,1.25504,4.90611,2.11947,1.58689,1.29971,1.06417,0.83533
"2026-04-14 08:56:00",1.5177,1.50312,5.6832,2.7348,1.61949,1.44804,1.26995,0.96983
"2026-04-14 09:56:00",1.7747,1.39895,3.09536,2.25033,1.4437,1.36239,1.16275,0.91788
"2026-04-14 10:56:00",1.54362,1.43051,7.31695,2.80636,1.6587,1.39605,1.20507,0.98657
"2026-04-14 11:56:00",1.68938,1.09781,4.47466,2.493,1.65113,1.19603,0.93435,0.7814
"2026-04-14 12:56:00",1.30799,1.26548,3.23147,2.8451,1.68326,1.34661,1.09271,0.92463
"2026-04-14 13:56:00",1.52052,1.08488,4.01992,2.2115,1.49005,1.14321,0.9213,0.74138
"2026-04-14 14:56:00",1.17161,1.24387,4.44753,2.50455,1.62634,1.31869,1.09609,0.87847
"2026-04-14 15:56:00",1.64447,1.09239,3.45353,1.9318,1.42566,1.1646,0.93717,0.74129
"2026-04-14 16:56:00",1.48278,1.27139,3.56371,2.37902,1.69728,1.31887,1.08331,0.88312
"2026-04-14 17:56:00",1.37262,1.22017,3.81082,1.93188,1.61676,1.24209,1.04236,0.78891
"2026-04-14 18:56:00",1.44749,1.18241,2.94925,2.53413,1.5756,1.24573,1.01899,0.807
"2026-04-14 19:56:00",1.55998,1.04624,4.29627,2.77369,1.77954,1.11426,0.88935,0.68173
"2026-04-14 20:56:00",1.11157,1.14304,4.19805,2.8164,1.62866,1.27418,1.02565,0.80558
"2026-04-14 21:56:00",1.2492,1.19558,4.65822,2.63611,1.76427,1.33988,1.06758,0.85244
"2026-04-14 22:56:00",1.56882,1.13537,4.12543,2.77174,1.47542,1.19856,0.9621,0.75214
"2026-04-14 23:56:00",1.52278,1.10541,3.56669,2.41084,1.53318,1.18422,0.93974,0.7695
"2026-04-15 00:56:00",1.54913,1.09724,3.58772,2.08161,1.57418,1.2123,0.94809,0.7994
"2026-04-15 01:56:00",1.23145,1.25811,3.64728,2.14307,1.62283,1.3661,1.10907,0.92491
