DateTime,10RH-V,11RH-V,1RV-V,2RH-V,3RV-V,5RV-V,7RV-V,9RV-V
2026-05-13 23:02:00,5.18908,97.99507,14.15499,9.47887,2.87287,2.71491,4.1506,3.21725
2026-05-14 00:02:00,4.3448,99.71837,11.81337,8.36391,2.3542,2.42603,3.5903,2.90764
2026-05-14 01:02:00,4.027,242.552,11.9648,8.32107,2.44921,2.47332,3.66044,2.74364
2026-05-14 02:02:00,4.56396,84.53871,12.70811,8.95355,2.55947,2.60354,3.7074,3.01311
2026-05-14 03:02:00,5.28393,62.03468,13.36307,9.60246,2.51805,2.65465,3.95378,3.30143
2026-05-14 04:02:00,5.6185,131.53746,14.44067,10.00913,2.86976,2.77139,4.25359,3.40305
2026-05-14 05:02:00,5.26945,62.93103,13.10747,9.37454,2.5334,2.73315,4.09795,3.28397
2026-05-14 06:02:00,5.15711,282.714447,13.81063,9.71871,2.80462,2.77463,4.09781,3.27021
2026-05-14 07:02:00,4.97855,147.809509,13.37793,9.41904,2.71657,2.73619,4.0319,3.15617
2026-05-14 08:02:00,5.39849,213.620331,13.93877,9.6902,2.78955,2.65405,3.78658,3.30286
2026-05-14 09:02:00,5.45347,56.66479,14.4879,10.05837,2.97283,2.70966,3.98317,3.33223
2026-05-14 10:02:00,4.89267,174.753281,13.55182,9.15582,2.99113,2.87517,4.25486,3.09007
2026-05-14 11:02:00,6.06056,59.53135,14.09251,9.97799,2.86003,2.88523,4.2886,3.62975
2026-05-14 12:02:00,5.27817,57.55574,12.67018,9.15424,2.53614,2.66515,3.94158,3.20805
2026-05-14 13:02:00,5.41096,70.9692,13.38471,9.3375,2.7971,2.92349,4.13952,3.16961
2026-05-14 14:02:00,5.51958,97.71993,13.28928,9.52706,2.64148,2.66429,3.97504,3.34065
2026-05-14 15:02:00,5.58053,110.69194,13.98577,9.69112,2.94112,2.81392,4.24375,3.37126
2026-05-14 16:02:00,6.12872,162.281586,13.86194,10.06323,2.59512,2.75384,4.18373,3.41455
2026-05-14 17:02:00,5.58896,106.420914,14.60635,9.57598,3.25139,2.8566,4.58734,3.41269
2026-05-14 18:02:00,4.32763,112.315079,11.64694,8.33354,2.44401,2.55079,3.71709,2.90036
2026-05-14 19:02:00,4.79596,223.2466,13.54873,9.12238,2.91578,2.66561,3.99503,3.18187
2026-05-14 20:02:00,5.6792,85.24184,13.50275,9.7264,2.64976,2.7951,4.00261,3.56728
2026-05-14 21:02:00,4.60822,30.10779,12.79373,9.16262,2.77261,3.01222,3.92377,2.91515
2026-05-14 22:02:00,5.28017,109.516853,14.09567,9.39304,2.95704,2.67634,3.9283,3.1677
2026-05-14 23:02:00,6.45714,75.48302,15.14376,10.31324,3.05665,2.81053,4.34614,3.69997
2026-05-15 00:02:00,6.24894,81.69132,13.57253,10.0095,2.53749,2.83407,4.22038,3.53738
2026-05-15 01:02:00,5.74518,42.52789,13.51623,9.56279,2.82995,2.92781,4.43062,3.37945
2026-05-15 02:02:00,5.78939,46.26575,15.1895,10.34503,3.15969,2.86347,4.31955,3.50891
2026-05-15 03:02:00,5.80983,29.75105,15.12431,9.98291,3.07271,2.78832,4.30215,3.4902
2026-05-15 04:02:00,5.61124,27.79532,15.949,10.44039,3.68706,3.21475,4.6051,3.33247
2026-05-15 05:02:00,7.14137,131.807083,15.46286,11.17753,3.04737,3.25531,4.67859,3.93202
2026-05-15 06:02:00,6.12011,143.1569,15.47164,10.42947,3.18657,3.05863,4.60771,3.59832
2026-05-15 07:02:00,6.92167,144.6983,15.73741,10.95559,3.07907,2.98709,4.78148,3.9355
2026-05-15 08:02:00,6.25759,56.64785,14.26397,10.25214,2.56942,2.83769,4.46182,3.61849
2026-05-15 09:02:00,4.71264,201.849091,13.05287,8.95405,2.70306,2.68547,3.97046,2.95525
2026-05-15 10:02:00,4.95494,48.08304,14.81357,10.01715,3.16598,2.9765,4.15729,3.19177
2026-05-15 11:02:00,5.13341,89.56181,14.6031,9.55493,3.12524,2.78433,4.20729,3.28492
2026-05-15 12:02:00,5.50059,74.77092,13.95597,9.35905,2.89978,2.68958,4.09244,3.31368
2026-05-15 13:02:00,5.2184,316.933533,14.3122,9.02852,3.04697,2.7068,4.25209,3.32594
2026-05-15 14:02:00,5.01415,94.23781,13.70717,9.12888,2.89827,2.68614,3.9571,3.19777
2026-05-15 15:02:00,4.81281,49.13028,11.87895,8.20006,2.42632,2.6776,3.94096,3.03225
2026-05-15 16:02:00,4.48969,49.18494,13.95743,8.9494,3.25483,2.93144,4.19903,3.26339
2026-05-15 17:02:00,0.50844,127.707367,1.00884,1.29406,0.63033,0.55378,0.55263,1.24372
2026-05-15 18:02:00,4.40834,96.88333,12.36265,8.66425,2.58068,2.65603,3.63831,2.97171
2026-05-15 19:02:00,4.83082,48.76478,13.31228,9.2018,2.67097,2.6642,3.84523,3.16061
2026-05-15 20:02:00,5.18745,93.49287,13.69405,9.51446,2.6337,2.60467,3.77115,3.22231
2026-05-15 21:02:00,5.1247,120.347527,14.61145,9.95232,2.94974,2.69766,4.09886,3.24931
2026-05-15 22:02:00,5.51377,68.14501,15.17722,9.91304,3.2366,2.9547,4.49424,3.41825
2026-05-15 23:02:00,4.58789,137.961746,14.71467,9.50043,3.383,2.87025,4.09321,3.10053
2026-05-16 00:02:00,4.43887,60.12834,14.55594,9.22784,3.41243,3.01685,4.29121,3.08734
2026-05-16 01:02:00,4.38874,70.16177,13.03403,9.1909,2.62616,2.82192,3.83326,2.93357
2026-05-16 02:02:00,5.52975,44.39655,14.00813,9.87599,2.73454,2.69693,3.95284,3.2838
2026-05-16 03:02:00,5.05384,202.60408,13.5613,9.46178,2.75299,2.76979,3.97044,3.17635
2026-05-16 04:02:00,4.71235,25.32142,13.08215,8.85223,2.72734,2.75672,4.10612,2.99223
2026-05-16 05:02:00,5.11372,60.93048,13.45309,9.24786,2.78493,2.84595,4.17311,3.17673
2026-05-16 06:02:00,4.9414,17.85243,13.2178,9.12614,2.72633,2.82977,4.09311,3.03712
2026-05-16 07:02:00,4.65123,54.66311,12.53652,8.83026,2.56659,2.73634,3.96245,2.87459
2026-05-16 08:02:00,5.25131,140.292313,13.79975,9.27588,2.85907,2.83528,4.3985,3.11719
2026-05-16 09:02:00,4.66795,39.11783,12.31326,8.35842,2.6192,2.6591,3.89662,2.90454
2026-05-16 10:02:00,5.3736,55.88844,15.1356,10.24588,3.1398,2.8912,4.0563,3.33483
2026-05-16 11:02:00,5.40167,145.189362,15.56143,10.05513,3.34609,3.08744,4.74619,3.34386
2026-05-16 12:02:00,5.06951,101.1928,13.05933,9.03021,2.67642,2.81554,4.1182,3.02415
2026-05-16 13:02:00,4.60055,53.12548,12.28913,8.5522,2.62852,2.62018,3.78658,3.00076
2026-05-16 14:02:00,4.65228,148.704865,12.50887,8.45455,2.63935,2.60453,3.72932,3.11166
2026-05-16 15:02:00,4.85498,66.5118,13.3896,8.89482,3.15248,2.9439,4.24256,3.23372
2026-05-16 16:02:00,5.19596,190.922852,13.04602,9.31304,2.70347,2.81179,3.92256,3.28279
2026-05-16 17:02:00,4.54558,76.14567,12.87743,9.0295,2.84043,2.84684,3.91731,3.05455
2026-05-16 18:02:00,4.73014,24.81585,12.85819,9.03304,2.73455,2.83445,4.03487,3.07448
2026-05-16 19:02:00,4.48958,51.09501,12.50291,8.57479,2.78059,2.75505,4.00835,2.8297
2026-05-16 20:02:00,4.66658,105.153282,13.46994,8.91448,3.23153,2.67615,4.09328,2.96053
2026-05-16 21:02:00,4.4695,192.381256,12.24545,8.72209,2.67538,2.7371,3.81639,3.10612
2026-05-16 22:02:00,4.64948,26.24259,12.41134,8.57754,2.55637,2.72589,3.78592,3.00993
2026-05-16 23:02:00,5.22256,191.613312,13.9073,9.45219,2.86325,2.73867,4.01252,3.04152
2026-05-17 00:02:00,4.66462,85.62363,12.74,8.6169,2.75168,2.80304,4.06595,3.00968
2026-05-17 01:02:00,5.81953,94.25835,14.47247,10.04876,2.82157,2.92167,4.38468,3.52564
2026-05-17 02:02:00,4.88446,88.10471,13.54515,9.43305,2.65785,2.82315,4.07921,3.0809
2026-05-17 03:02:00,4.49501,44.05921,13.20012,9.20797,2.81197,3.07225,4.16313,3.1436
2026-05-17 04:02:00,4.92228,218.483658,14.65208,9.89349,3.12957,3.01726,4.2938,3.24653
2026-05-17 05:02:00,5.69164,68.25596,15.49144,10.54547,3.2094,3.11304,4.47222,3.44136
2026-05-17 06:02:00,6.00428,70.06992,15.91849,10.71662,3.42278,3.43933,5.05967,3.55269
2026-05-17 07:02:00,4.92799,39.44644,15.03966,9.8441,3.26863,3.00052,4.35788,3.10129
2026-05-17 08:02:00,4.83496,66.35487,12.93834,8.82184,2.61889,2.74327,3.87817,3.01493
2026-05-17 09:02:00,5.71484,25.61871,14.32304,9.93386,2.79881,2.792,4.13096,3.29405
2026-05-17 10:02:00,4.63738,40.18937,12.72354,8.58922,2.78711,2.72098,3.98454,3.02785
2026-05-17 11:02:00,5.40332,19.23156,13.23576,9.35035,2.63887,2.80559,4.1175,3.3706
2026-05-17 12:02:00,5.60346,64.97172,13.96369,9.87701,2.94126,2.98831,4.39484,3.51962
2026-05-17 13:02:00,5.42151,328.27655,13.59123,9.13642,3.06002,2.95117,4.5413,3.25737
2026-05-17 14:02:00,4.69246,72.98735,12.58572,9.03588,2.76114,2.90494,4.18066,3.03843
2026-05-17 15:02:00,4.51858,624.754761,12.1857,8.67044,2.66257,2.88435,3.93288,3.06274
2026-05-17 16:02:00,4.85868,1118.90637,14.08868,9.48034,3.02395,2.9298,4.13952,3.14194
2026-05-17 17:02:00,5.25671,592.5218,13.9547,9.5287,2.96657,3.0193,4.33017,3.17774
2026-05-17 18:02:00,4.92055,43.45369,13.56225,9.11145,2.91836,2.83735,4.31732,3.07886
2026-05-17 19:02:00,5.90932,61.70456,13.96913,9.51598,2.98098,2.92407,4.65143,3.447
2026-05-17 20:02:00,5.64224,228.8277,13.25974,9.42659,2.81803,2.92209,4.59377,3.3295
2026-05-17 21:02:00,4.47574,437.405243,12.01779,8.37923,2.52875,2.59213,3.74512,2.85635
