DateTime,1RV-O-T,2AX-O-T,2RV-O-T,3RV-O-T,6RV-O-T,7RV-O-T,8RV-O-T
2026-05-04 10:42:00,0.28098,0.27576,0.29706,0.99891,1.30461,1.03218,1.06803
2026-05-04 11:42:00,0.27994,0.2905,0.29536,1.00641,1.32798,1.13601,1.13915
2026-05-04 12:42:00,0.28286,0.29239,0.28659,0.99399,1.32157,1.05452,1.06192
2026-05-04 13:42:00,0.28556,0.30623,0.28523,1.00673,1.35694,1.22248,1.20296
2026-05-04 14:42:00,0.29105,0.30774,0.2841,0.99656,1.34463,1.19401,1.15646
2026-05-04 15:42:00,0.28812,0.30829,0.28159,1.02094,1.35666,1.11651,1.1106
2026-05-04 16:42:00,0.29891,0.30907,0.28784,0.99507,1.35103,1.19736,1.17884
2026-05-04 17:42:00,0.29658,0.30767,0.2966,0.99027,1.31813,1.09508,1.10687
2026-05-04 18:42:00,0.29315,0.29431,0.29463,1.00175,1.34263,1.23372,1.24441
2026-05-04 19:42:00,0.28371,0.30725,0.30096,0.99407,1.33176,1.10098,1.10947
2026-05-04 20:42:00,0.29335,0.31834,0.3176,0.99613,1.35547,1.16249,1.17056
2026-05-04 21:42:00,0.29301,0.31517,0.31658,0.97713,1.29569,1.1684,1.16347
2026-05-04 22:42:00,0.29219,0.31399,0.31778,0.98624,1.32995,1.17328,1.17044
2026-05-04 23:42:00,0.29501,0.32132,0.32745,0.98407,1.28236,1.1754,1.17096
2026-05-05 00:42:00,0.29657,0.34896,0.3305,0.99255,1.32033,1.12955,1.11605
2026-05-05 01:42:00,0.2996,0.34095,0.33946,0.98456,1.31397,1.13497,1.14524
2026-05-05 02:42:00,0.29773,0.35353,0.33251,1.00234,1.30442,1.12532,1.11741
2026-05-05 03:42:00,0.30635,0.35324,0.33719,1.00107,1.36568,1.08897,1.11455
2026-05-05 04:42:00,0.31871,0.3396,0.34004,0.98009,1.2988,1.11636,1.14381
2026-05-05 05:42:00,0.31063,0.34007,0.3484,0.96865,1.3117,1.17447,1.17597
2026-05-05 06:42:00,0.32729,0.34671,0.3538,0.98703,1.31049,1.07413,1.09818
2026-05-05 07:42:00,0.31895,0.35251,0.35324,0.97695,1.2792,1.10961,1.13914
2026-05-05 08:42:00,0.32755,0.346,0.35717,0.96126,1.28964,1.18474,1.17311
2026-05-05 09:42:00,0.31736,0.32506,0.33316,0.99638,1.32746,1.10347,1.09172
2026-05-05 10:42:00,0.29904,0.3245,0.33076,1.00058,1.34664,1.04454,1.05421
2026-05-05 11:42:00,0.29724,0.3497,0.33571,0.98162,1.32417,1.09919,1.12212
2026-05-05 12:42:00,0.29454,0.35073,0.31849,0.99533,1.33719,1.23647,1.21626
2026-05-05 13:42:00,0.28277,0.34855,0.31367,0.99307,1.35146,1.09705,1.0774
2026-05-05 14:42:00,0.2866,0.35056,0.31731,1.00621,1.34473,1.13173,1.12987
2026-05-05 15:42:00,0.29697,0.35852,0.32756,0.99455,1.33369,1.05226,1.0411
2026-05-05 16:42:00,0.29413,0.37007,0.32686,1.00662,1.33165,1.16716,1.181
2026-05-05 17:42:00,0.29639,0.36234,0.32854,0.99044,1.33591,1.14727,1.16487
2026-05-05 18:42:00,0.29653,0.36118,0.33585,0.99176,1.32286,1.1855,1.17072
2026-05-05 19:42:00,0.29266,0.3745,0.34303,0.9942,1.3305,1.15055,1.12914
2026-05-05 20:42:00,0.30116,0.36268,0.34686,0.98128,1.32227,1.22429,1.22642
2026-05-05 21:42:00,0.301,0.37598,0.35526,0.97694,1.30739,1.2461,1.21677
2026-05-05 22:42:00,0.29475,0.36292,0.34709,0.99781,1.31794,1.06663,1.08105
2026-05-05 23:42:00,0.30274,0.37281,0.34921,0.98216,1.34712,1.24666,1.17745
2026-05-06 00:42:00,0.31102,0.37033,0.35906,0.9675,1.33285,1.287,1.28003
