"DateTime","9RV","10RV","1RV","2RH","3RV","4RV","7RV","8RV"
"2025-11-07 17:54:00",1.69204,1.50694,1.08015,1.29149,1.19485,1.43559,0.85335,0.85335
"2025-11-07 18:54:00",1.76256,1.56766,1.12942,1.29436,1.24097,1.49401,0.8904,0.8904
"2025-11-07 19:54:00",1.69233,1.49131,1.08058,1.32418,1.18479,1.43213,0.85708,0.85708
"2025-11-07 20:54:00",1.76066,1.5569,1.11097,1.30926,1.22981,1.48061,0.86789,0.86789
"2025-11-07 21:54:00",1.63838,1.43766,1.05718,1.34932,1.15761,1.39504,0.82533,0.82533
"2025-11-07 21:54:00",,,1.05718,,,,,
"2025-11-07 22:54:00",1.72176,1.52829,1.10541,1.31878,1.22225,1.4603,0.86864,0.86864
"2025-11-07 23:54:00",1.69811,1.48423,1.06677,1.33056,1.15926,1.40271,0.84099,0.84099
"2025-11-08 00:54:00",1.59431,1.40221,1.02488,1.33347,1.12507,1.34935,0.82579,0.82579
"2025-11-08 01:54:00",1.64521,1.4487,1.04995,1.25585,1.15187,1.38646,0.82601,0.82601
"2025-11-08 02:54:00",1.76339,1.55697,1.12273,1.22682,1.22282,1.47094,0.87006,0.87006
"2025-11-08 03:54:00",1.70951,1.49917,1.08341,1.27228,1.17949,1.4242,0.85491,0.85491
"2025-11-08 04:54:00",1.72384,1.52029,1.093,1.25163,1.20113,1.4499,0.85755,0.85755
"2025-11-08 05:54:00",1.65681,1.46164,1.04598,1.21143,1.15219,1.39418,0.83462,0.83462
"2025-11-08 06:54:00",1.72109,1.52274,1.10217,1.22783,1.21775,1.45511,0.85273,0.85273
"2025-11-08 06:54:00",1.72109,,,,,,,
"2025-11-08 07:54:00",1.67894,1.47789,1.07155,1.21369,1.17994,1.41266,0.85333,0.85333
"2025-11-08 08:54:00",1.68598,1.47855,1.04015,1.26182,1.15215,1.39804,0.82642,0.82642
"2025-11-08 09:54:00",1.70355,1.50128,1.07187,1.18715,1.19246,1.4282,0.85414,0.85414
"2025-11-08 10:54:00",1.7399,1.53854,1.09528,1.22302,1.22103,1.46086,0.85629,0.85629
"2025-11-08 10:54:00",1.7399,,,,,,,
"2025-11-08 11:54:00",1.62342,1.43132,1.02238,1.24631,1.13635,1.3618,0.80479,0.80479
"2025-11-08 12:54:00",1.67027,1.47295,1.03361,1.24399,1.15354,1.39983,0.81036,0.81036
"2025-11-08 13:54:00",1.72929,1.5278,1.063,1.21458,1.18387,1.44061,0.83634,0.83634
"2025-11-08 14:54:00",1.7406,1.54164,1.05952,1.24331,1.18705,1.45713,0.83234,0.83234
"2025-11-08 15:54:00",1.66526,1.46954,1.00169,1.26049,1.12877,1.38606,0.79583,0.79583
"2025-11-08 16:54:00",1.65681,1.46107,1.03369,1.2428,1.13664,1.39421,0.82673,0.82673
"2025-11-08 16:54:00",,1.46107,,,,,,
"2025-11-08 17:54:00",1.59187,1.40042,0.98999,1.28153,1.09272,1.34305,0.78545,0.78545
"2025-11-08 18:54:00",1.68845,1.50055,1.0569,1.28147,1.19125,1.4322,0.84334,0.84334
"2025-11-08 19:54:00",1.73159,1.53275,1.07626,1.26225,1.19593,1.45106,0.84685,0.84685
"2025-11-08 20:54:00",1.6568,1.46133,1.05084,1.2827,1.15056,1.39094,0.83669,0.83669
"2025-11-08 20:54:00",,,,,,,,0.83669
"2025-11-08 21:54:00",1.68142,1.49044,1.06581,1.2707,1.18043,1.41992,0.85031,0.85031
"2025-11-08 21:54:00",,,,,1.18043,,,
"2025-11-08 22:54:00",1.61041,1.41763,1.03744,1.29199,1.13323,1.36715,0.8063,0.8063
"2025-11-08 23:54:00",1.65862,1.46898,1.06569,1.28074,1.17277,1.41346,0.84538,0.84538
"2025-11-08 23:54:00",1.65862,,,,,,,
"2025-11-09 00:54:00",1.70948,1.51248,1.09541,1.29792,1.20067,1.44046,0.86792,0.86792
"2025-11-09 00:54:00",,,,,1.20067,,0.86792,
"2025-11-09 01:54:00",1.65493,1.45803,1.05578,1.26758,1.16037,1.3939,0.83539,0.83539
"2025-11-09 02:54:00",1.7317,1.5298,1.11352,1.27454,1.22041,1.4623,0.87387,0.87387
"2025-11-09 03:54:00",1.65067,1.45996,1.05152,1.31418,1.16109,1.39417,0.83605,0.83605
"2025-11-09 04:54:00",1.58883,1.39753,1.02563,1.24719,1.12549,1.34288,0.81477,0.81477
"2025-11-09 04:54:00",1.58883,,,,,,,
"2025-11-09 05:54:00",1.64436,1.45095,1.04952,1.24672,1.15092,1.38341,0.82974,0.82974
"2025-11-09 06:54:00",1.66687,1.47393,1.07946,1.24912,1.18748,1.41468,0.85061,0.85061
"2025-11-09 07:54:00",1.66941,1.48069,1.05814,1.30093,1.17994,1.41127,0.83755,0.83755
"2025-11-09 08:54:00",1.66948,1.46317,1.05223,1.31763,1.16006,1.39383,0.83226,0.83226
"2025-11-09 09:54:00",1.65241,1.44974,1.01151,1.34111,1.1276,1.36655,0.81544,0.81544
"2025-11-09 10:54:00",1.68367,1.4925,1.07117,1.34563,1.19338,1.4238,0.85619,0.85619
"2025-11-09 11:54:00",1.64012,1.45318,1.06207,1.35906,1.17743,1.39714,0.83954,0.83954
"2025-11-09 12:54:00",1.68374,1.48339,1.04764,1.34384,1.15183,1.40188,0.8145,0.8145
"2025-11-09 13:54:00",1.6754,1.4828,1.03583,1.30241,1.16079,1.41295,0.8204,0.8204
"2025-11-09 14:54:00",1.64227,1.44554,1.02939,1.35154,1.14126,1.38611,0.80571,0.80571
"2025-11-09 14:54:00",,1.44554,,,,,,
"2025-11-09 15:54:00",1.49241,1.27541,0.89777,1.27642,0.96985,1.21368,0.72091,0.72091
"2025-11-09 16:54:00",1.59228,1.36639,0.94623,1.27833,1.01453,1.28368,0.73062,0.73062
"2025-11-09 17:54:00",1.54748,1.33721,0.9378,1.335,1.02064,1.27079,0.72736,0.72736
"2025-11-09 18:54:00",1.53091,1.31527,0.92244,1.31155,0.99727,1.24811,0.71925,0.71925
"2025-11-09 18:54:00",1.53091,,,,,,,
"2025-11-09 19:54:00",1.53861,1.33467,0.95358,1.333,1.03217,1.26752,0.76409,0.76409
"2025-11-09 20:54:00",1.54315,1.32775,0.94001,1.32467,1.01212,1.25763,0.74475,0.74475
"2025-11-09 21:54:00",1.5807,1.35819,0.95942,1.29621,1.03175,1.28192,0.75984,0.75984
"2025-11-09 22:54:00",1.59612,1.37513,0.97954,1.24235,1.05954,1.30946,0.75992,0.75992
"2025-11-09 23:54:00",1.51828,1.30449,0.92167,1.32914,1.00444,1.23882,0.73618,0.73618
"2025-11-09 23:54:00",,1.30449,,,,,,
"2025-11-10 00:54:00",1.56466,1.3433,0.96416,1.3259,1.03273,1.27105,0.76128,0.76128
"2025-11-10 01:54:00",1.52223,1.30813,0.92183,1.33463,1.00405,1.23911,0.73195,0.73195
"2025-11-10 02:54:00",1.55498,1.34314,0.94848,1.34792,1.03618,1.2782,0.74291,0.74291
"2025-11-10 03:54:00",1.58972,1.37027,0.98014,1.33077,1.06369,1.3056,0.75468,0.75468
"2025-11-10 04:54:00",1.58924,1.37136,0.96969,1.2837,1.06192,1.30485,0.77472,0.77472
"2025-11-10 05:54:00",1.52698,1.30457,0.94232,1.30935,1.02534,1.2523,0.74381,0.74381
"2025-11-10 06:54:00",1.54042,1.32465,0.92843,1.31538,1.02496,1.26712,0.74052,0.74052
"2025-11-10 07:54:00",1.60599,1.38091,0.96938,1.30518,1.05897,1.30496,0.75514,0.75514
"2025-11-10 08:54:00",1.54569,1.33078,0.93878,1.33823,1.03615,1.26812,0.75573,0.75573
"2025-11-10 09:54:00",1.48659,1.2745,0.88869,1.31424,0.97769,1.21438,0.72473,0.72473
"2025-11-10 10:54:00",1.47993,1.27718,0.89142,1.34136,0.99042,1.21879,0.72674,0.72674
"2025-11-10 11:54:00",1.53629,1.31815,1.08387,1.30799,0.99507,1.24347,0.71443,0.71443
"2025-11-10 12:54:00",1.49602,1.28923,1.05956,1.31164,0.99422,1.23498,0.7154,0.7154
"2025-11-10 13:54:00",1.56335,1.34674,1.08555,1.30689,1.02317,1.27736,0.74147,0.74147
"2025-11-10 14:54:00",1.52649,1.31848,1.05542,1.31405,1.00941,1.25023,0.73861,0.73861
"2025-11-10 14:54:00",,,1.05542,,,,0.73861,
"2025-11-10 15:54:00",1.53696,1.33152,1.04757,1.27661,0.99725,1.25322,0.70307,0.70307
"2025-11-10 15:54:00",,,,,,,0.70307,
"2025-11-10 16:54:00",1.52266,1.30691,1.04483,1.28671,0.98754,1.23351,0.71649,0.71649
"2025-11-10 17:54:00",1.60266,1.38596,1.09383,1.31092,1.05589,1.31304,0.77364,0.77364
"2025-11-10 18:54:00",1.56302,1.34604,1.07215,1.33804,1.02399,1.27977,0.74666,0.74666
"2025-11-10 19:54:00",1.51549,1.30996,1.06982,1.30464,1.00234,1.24022,0.73173,0.73173
"2025-11-10 20:54:00",1.57673,1.35909,1.09464,1.32734,1.03152,1.28059,0.75305,0.75305
"2025-11-10 21:54:00",1.56276,1.33689,1.07421,1.32605,1.00922,1.26007,0.74115,0.74115
"2025-11-10 22:54:00",1.48036,1.2784,1.05023,1.39748,0.99217,1.21741,0.73195,0.73195
"2025-11-10 23:54:00",1.5436,1.32968,1.07615,1.40015,1.0257,1.2706,0.76133,0.76133
"2025-11-11 00:54:00",1.50551,1.29855,1.06977,1.34813,1.01658,1.24312,0.74548,0.74548
"2025-11-11 01:54:00",1.53524,1.3186,1.07528,1.3808,1.00838,1.25404,0.72058,0.72058
"2025-11-11 02:54:00",1.55919,1.34808,1.09022,1.39852,1.02906,1.27372,0.75654,0.75654
"2025-11-11 03:54:00",1.5452,1.33095,1.0959,1.39608,1.03219,1.26828,0.76159,0.76159
"2025-11-11 04:54:00",1.50091,1.29251,1.04396,1.34057,1.00377,1.23794,0.73074,0.73074
"2025-11-11 05:54:00",1.48686,1.28033,1.07668,1.38835,1.00061,1.22126,0.73445,0.73445
"2025-11-11 06:54:00",1.5082,1.29798,1.06565,1.40507,0.99027,1.22741,0.72843,0.72843
"2025-11-11 07:54:00",1.56078,1.34861,1.08702,1.34741,1.03664,1.27528,0.74918,0.74918
"2025-11-11 08:54:00",1.60706,1.39025,1.11178,1.37806,1.07242,1.31023,0.7659,0.7659
"2025-11-11 09:54:00",1.53101,1.32127,1.08376,1.36844,1.02239,1.24373,0.72551,0.72551
