"DateTime","9RV","10RV","7RV","8RV","1RV","2RH","3RV","4RV"
"2025-12-13 08:52:00",1.7817,1.98422,2.08372,2.09771,1.38157,1.47505,1.71513,1.64557
"2025-12-13 09:52:00",1.84702,1.95425,2.11416,2.27308,1.42976,1.51235,1.80226,1.63978
"2025-12-13 10:52:00",1.92216,1.96392,2.10325,2.12325,1.43249,1.50926,1.76843,1.67188
"2025-12-13 11:52:00",1.91279,1.93457,2.18802,2.62144,1.49967,1.5221,1.93695,1.56534
"2025-12-13 12:52:00",1.84294,1.94784,2.1117,2.43265,1.48064,1.55452,1.86217,1.59514
"2025-12-13 13:52:00",1.90303,2.06445,2.1821,2.08924,1.39244,1.54921,1.75077,1.75115
"2025-12-13 14:52:00",1.87841,1.97531,2.19488,2.36989,1.47174,1.55132,1.81509,1.67006
"2025-12-13 15:52:00",1.90971,2.05128,2.20619,2.30152,1.45392,1.53136,,1.69713
"2025-12-13 16:52:00",1.92761,1.98236,2.22557,2.43994,1.50978,1.57432,1.86477,1.67807
"2025-12-13 17:52:00",1.96726,2.07977,2.22374,2.15149,1.44474,1.57954,1.74533,1.742
"2025-12-13 18:52:00",1.89536,1.93586,2.14394,2.26817,1.44487,1.51069,1.7841,1.67066
"2025-12-13 19:52:00",1.82686,1.94328,2.13275,2.35089,1.38187,1.45377,1.8234,1.61741
"2025-12-13 20:52:00",1.78413,1.98545,2.14728,2.39672,1.4094,1.48126,1.81355,1.60929
"2025-12-13 21:52:00",1.76281,2.01188,2.1611,2.42291,1.4017,1.46448,1.83117,1.59351
"2025-12-13 22:52:00",1.768,1.98371,2.08319,2.1827,1.3639,1.46643,1.73586,1.61444
"2025-12-13 23:52:00",1.80153,1.98054,2.13754,2.28504,1.41313,1.51687,1.79052,1.65695
"2025-12-14 00:52:00",1.82251,2.05313,2.20238,2.48342,1.46023,1.52371,1.88154,1.63229
"2025-12-14 01:52:00",1.7918,2.02138,2.14158,2.32497,1.47841,1.53507,1.80831,1.63596
"2025-12-14 02:52:00",1.79601,2.07679,2.19861,2.1053,1.40205,1.5201,1.73093,1.73287
"2025-12-14 03:52:00",1.78895,2.03306,2.08674,2.01177,1.38309,1.51583,1.73895,1.7082
"2025-12-14 04:52:00",1.7515,2.04332,2.0681,2.02033,1.377,1.5091,1.72271,1.67765
"2025-12-14 05:52:00",1.70631,2.03931,2.17161,2.23528,1.45035,1.53094,1.77915,1.67884
"2025-12-14 06:52:00",1.69985,2.06413,2.10682,2.37443,1.47272,1.50033,1.82686,1.56963
"2025-12-14 07:52:00",1.72043,2.13086,2.08439,2.30503,1.42502,1.49015,1.78993,1.57479
"2025-12-14 08:52:00",1.7998,2.12582,2.06454,2.27172,1.45204,1.50812,1.7637,1.56557
"2025-12-14 09:52:00",1.70159,2.19767,2.03754,2.28671,1.41982,1.50719,1.77992,1.54141
"2025-12-14 10:52:00",1.65403,2.03644,2.03464,2.18069,1.41955,1.49902,1.74099,1.5722
"2025-12-14 11:52:00",1.5963,2.07448,2.08478,2.23482,1.4557,1.53265,1.76203,1.58659
"2025-12-14 12:52:00",1.64217,2.09644,2.11907,2.43071,1.47508,1.54403,1.84829,1.56449
"2025-12-14 13:52:00",1.62528,2.08993,2.13995,2.2421,1.47039,1.58965,1.78472,1.64169
"2025-12-14 14:52:00",1.65266,2.01172,2.12447,1.99446,1.41853,1.58229,1.7284,1.6957
"2025-12-14 15:52:00",1.69481,2.05834,2.17201,2.41507,1.4633,1.52244,1.85307,1.62781
"2025-12-14 16:52:00",1.81239,2.17129,2.2227,2.43587,1.49162,1.5468,1.83006,1.64134
"2025-12-14 17:52:00",1.80811,2.04331,2.17769,2.25519,1.46595,1.55685,1.78818,1.65253
"2025-12-14 18:52:00",1.87765,2.08698,2.19214,2.21207,1.45236,1.55266,1.75395,1.67479
"2025-12-14 19:52:00",1.86633,2.02032,2.19121,2.22099,1.44748,1.53747,1.76454,1.69003
"2025-12-14 20:52:00",1.84743,2.09248,2.17903,2.33391,1.50719,1.57328,1.83192,1.67195
"2025-12-14 21:52:00",1.92141,2.12241,2.24444,2.21322,1.51616,1.57234,1.78149,1.72458
"2025-12-14 22:52:00",1.94424,2.30446,2.189,2.40756,1.51656,1.55451,1.84087,1.61636
"2025-12-14 23:52:00",1.8892,2.16909,2.13761,2.30478,1.44128,1.50811,1.76389,1.60053
